"fullname","id","likes","replies","retweets","text","timestamp","user"
"TrendsLdnOnt","824253140677574656","0","0","0","'anxiety' is now trending in #London https://www.trendsmap.com/r/CA_LON_uieuct pic.twitter.com/7ecZ3FVjpf","2017-01-25T13:50:37","TrendsLdnOnt"
"amber dawn pullin","824472387290861568","0","0","1","#BellLetsTalk Branding Mental Illness https://audioboom.com/posts/5536383-bellletstalk-branding-mental-illness … via @audioBoom #mentalhealth #depression #anxiety","2017-01-26T04:21:49","goldmourn"
"Deanne Con Drat","825876441615171584","0","0","0","Forgot to take anxiety meds for a few days. Went to yoga with a class peppered with Obama speeches and renditions of Hallelujah. Tears+Sweat","2017-01-30T01:21:02","379_Deanne"
"Chantelle Dougheny","838905188182274048","0","0","0","Chrissy Teigen comes out that she has been suffering with postpartum and anxiety the past 4months. We all would never know but its reality.","2017-03-07T00:12:37","dougheny"
"_Your_MI_Matters_","848987359920234497","0","0","0","If Your Having a Anxiety Attack   Yes , A Anxiety Attack can sometimes feel like a heart attack… https://www.instagram.com/p/BSb4nTHgmH5/ ","2017-04-03T19:55:34","YourMIMatters"
"_Your_MI_Matters_","857627562981371907","0","0","0","Topic of Today: Anxiety   I get high anxiety when I'm around people who make me feel anxiety… https://www.instagram.com/p/BTZRuVsA3W0/ ","2017-04-27T16:08:39","YourMIMatters"
"erinhurley","858133814111084546","0","0","0","I had separation anxiety  @ London, Ontario https://www.instagram.com/p/BTc377el5STX8oRY19F_w2g7dCYh9ah0gHP7N80/ …","2017-04-29T01:40:19","ErinHurley3"
"_Your_MI_Matters_","859829356725764098","0","0","0","Did You Know Last Thursday 18% of the world  had a anxiety attack   It is Mental Health Week So… https://www.instagram.com/p/BTo6--ggZsX/ ","2017-05-03T17:57:48","YourMIMatters"
"_Your_MI_Matters_","865596115558825984","0","0","1","ANXIETY in Men: Anxiety, Panic Attacks, and Mistakes Don't let the gender studies fool you. Men… https://www.instagram.com/p/BUR5Zvjg1-M/ ","2017-05-19T15:52:50","YourMIMatters"
"_Your_MI_Matters_","868562244447109120","0","0","0","#knowledgeispower #iloveme #1in3 #depression #anxiety #alllivesmatter #ptsd #bpd #bipolar… https://www.instagram.com/p/BUm-PdLg3i2/ ","2017-05-27T20:19:10","YourMIMatters"
"Chantelle Dougheny","869615363478171648","1","0","0","EMMA STONE DOES A HELP VIDEO ON ANXIETY AND WHAT YOU FEEL","2017-05-30T18:03:53","dougheny"
"_Your_MI_Matters_","872152125341663234","0","0","0","How Are You Doing after all the madness going on in the world I had a anxiety attack the other… https://www.instagram.com/p/BVAeuxgAHA8/ ","2017-06-06T18:04:05","YourMIMatters"
"_Your_MI_Matters_","876173309309849605","0","0","0","Pissed  #beautyinthestruggle #dontjudge #depression #anxiety #youareworthy #youmatter… https://www.instagram.com/p/BVdDWTOF5Tl/ ","2017-06-17T20:22:50","YourMIMatters"
"_Your_MI_Matters_","886432477228797952","0","0","0","Q/A Anxiety and Depression  https://yourmentalillnessmatters.wordpress.com/2017/07/16/qa-anxiety-and-depression/ …pic.twitter.com/Dw66RmRpNh","2017-07-16T03:49:06","YourMIMatters"
"Ramen Girl","901488246986866689","1","0","0","Expiry dates. I never seem to be able to eat a loaf of bread before it expires  #anxiety #over… https://www.instagram.com/p/BYQ7QBGlsBE/ ","2017-08-26T16:55:21","JessSoltys"
"_Your_MI_Matters_","915962629440413696","0","0","0","Morning Anxiety   What Does Your Morning Anxiety Tell You and What Do You Do to Overcome It… https://www.instagram.com/p/BZ3xZAlHXfQ/ ","2017-10-05T15:31:23","YourMIMatters"
