"fullname","id","likes","replies","retweets","text","timestamp","user"
"Ottawa Now","823890936736296960","0","0","0","Patients with anxiety, depression after cancer diagnosis die sooner, study finds http://ow.ly/x99h308iyVq ","2017-01-24T13:51:21","OttawaCP"
"Trendsmap Ottawa","824324724473888769","0","0","0","#anxiety is now trending in #Ottawa https://www.trendsmap.com/r/CA_OTT_hdpdcg pic.twitter.com/hoANa0eIvU","2017-01-25T18:35:04","TrendsOttawa"
"Ottawa Now","828764405043113984","0","0","0","10% Ottawa adults 19+ report being diagnosed w a mood/anxiety disorder.But do do we know the causes?… https://twitter.com/i/web/status/828759001131278336 …","2017-02-07T00:36:46","OttawaCP"
"Ottawa Now","832329973373378560","0","0","0","Trudeau tries to calm Trump anxiety in Europe after addressing trade deal https://www.thestar.com/business/2017/02/16/if-canada-eu-trade-deal-doesnt-work-it-could-be-last-pact-of-its-kind-trudeau-warns-eu.html …","2017-02-16T20:45:04","OttawaCP"
"Ottawa Now","835878362421743616","0","0","0","10% Ottawa adults 19+ report being diagnosed w a mood/anxiety disorder. But do do we know the causes?… https://twitter.com/i/web/status/835872118323568640 …","2017-02-26T15:45:06","OttawaCP"
"kavvy [rock dweller]","849087597532065793","0","0","0","still doesn't solve my lack of confidence + anxiety about driving, though.","2017-04-04T02:33:53","kavmac"
"Martin Lafleur","849234359945236480","0","0","0","For someone with anxiety this is definitely compounded. I get it though it's just hard when you… https://www.instagram.com/p/BSdo7sQFs_v/ ","2017-04-04T12:17:04","anonymousone613"
"Aly Elle∞","863208087058034688","0","0","0","; the anxiety and depression hit me hard today.  i'm so lost. @… https://www.instagram.com/p/BUA7c6bAktb9MKtaj2QD3uN816N_4MfuPuuYGo0/ …","2017-05-13T01:43:40","heyheyalycat"
"EmmaBaker","865632113168490499","0","0","0","The separation anxiety is real @ Carleton University (Official) https://www.instagram.com/p/BUSJxYuDCsxo5HE3WMrTx5hBvyzLViH30_8I1E0/ …","2017-05-19T18:15:53","ebakez"
"Chantal","867808255816474624","0","0","0","Feeling BLAH!!!  #lackofsleep #anxiety #therearedays #thursday #may #2017 #missingmyman #nap… https://www.instagram.com/p/BUhnXangnYh/ ","2017-05-25T18:23:05","mama2fourboys"
"Abe Bourgi","870300386871185410","0","0","0",". Thoughts . #thoughts #Mandala #mandalas #brain #Anxiety #lines #doodle #doodling #zentangle… https://www.instagram.com/p/BUzUpz8A9nL/ ","2017-06-01T15:25:56","boodythebest"
"Leah Williams","876146494075682816","0","0","0","After a late start to the morning, lots of screaming, separation anxiety episodes, crazy… https://www.instagram.com/p/BVc3KMkBB9d/ ","2017-06-17T18:36:16","Diaspora3"
"Shelley","876551783568605185","1","0","0","So some dog believes the #tornadowatch warning and some dog benefited from the anxiety.… https://www.instagram.com/p/BVfvdcjl65N/ ","2017-06-18T21:26:45","ShellMurdock"
"Torvos","879742626211221505","0","0","0"," ya could just be anxiety but probably best to have a vet check if he does it again   Oh and obviously that was hugs silly fat fingers ","2017-06-27T16:46:01","torvos"
"Martin Lafleur","889803950043615232","0","0","0","Anxiety and depression can be a bitch sometimes, living with it for the past 30 years I know now… https://www.instagram.com/p/BW952HnF56C/ ","2017-07-25T11:06:08","anonymousone613"
" 🇨🇦 Kim  🍁 🍂 🎃","896046363703521280","1","0","0","Since I've been overwhelmed with #anxiety lately, I've been into #noraroberts books.. I bought… https://www.instagram.com/p/BXqQkNkAqOq/ ","2017-08-11T16:31:15","Kim_Larocque"
"Mandi Lunan","896378522024980484","0","0","0","Tip 1 of for for dealing with business anxiety and/or grief. Talk to the people who love you. @… https://www.instagram.com/p/BXsnncThGrd/ ","2017-08-12T14:31:08","MandiLunan"
" 🇨🇦 Kim  🍁 🍂 🎃","900773812341317632","1","0","0","One way I deal with anxiety is I cook and/or bake. Today it is turkey chili.. Cant wait for… https://www.instagram.com/p/BYL2W_ogL8l/ ","2017-08-24T17:36:27","Kim_Larocque"
"kavvy [rock dweller]","903386584837476352","5","3","0","depression and anxiety are such jerks. always wanting to hang out at the most inconvenient times.","2017-08-31T22:38:40","kavmac"
"Abe Bourgi","907654278172561409","0","0","0",". Anxiety . #anxiety #faceofAnxiety #face #lines #doodle #doodling #zentangle #colors… https://www.instagram.com/p/BY8vO6xgmXt/ ","2017-09-12T17:16:57","boodythebest"
"Abe Bourgi","907706251131473925","0","0","0",". Anxiety . #anxiety #faceofAnxiety #face #lines #doodle #doodling #zentangle #colors… https://www.instagram.com/p/BY9G3yRguEt/ ","2017-09-12T20:43:29","boodythebest"
"Abe Bourgi","910998784833916932","0","0","0",". Anxiety . #anxiety #anxious #insomnia #lines #doodle #doodling #zentangle #colors… https://www.instagram.com/p/BZUgIp1AkCK/ ","2017-09-21T22:46:50","boodythebest"
" 🇨🇦 Kim  🍁 🍂 🎃","912684437862789121","0","0","0","High anxiety is pretty scary right now. Tucked away in my room after attempting to make my bed… https://www.instagram.com/p/BZgerrsAYCQ/ ","2017-09-26T14:25:01","Kim_Larocque"
"Rainbow Foods","913137776412942336","2","0","0","***ATTENTION*** Cancelled due to power outage.   Stress-induced anxiety is something that many… https://www.instagram.com/p/BZjs13aFX__/ ","2017-09-27T20:26:25","RainbowFoods78"
"paige*  👠","913592251804258304","0","0","0","I got to do something I’ve always wanted to today! And I did it on my own! EAT THAT ANXIETY @… https://www.instagram.com/p/BZm7g3bDZET/ ","2017-09-29T02:32:21","PaigeeDeniss"
"kavvy [rock dweller]","915955904792711169","3","3","0","anxiety attacks are always an awesome way to get yourself through the work day.","2017-10-05T15:04:39","kavmac"
"kavvy [rock dweller]","916144823320698880","1","2","0","something tells me my anxiety is going to make this an incredibly long long weekend. ","2017-10-06T03:35:21","kavmac"
"kavvy [rock dweller]","917242081671868416","2","0","0","ahhh yes, here’s that pre-family holiday meetup anxiety I’ve been waiting for.  thank the gods for wifi, my iPad mini and my Switch.","2017-10-09T04:15:28","kavmac"
