"fullname","id","likes","replies","retweets","text","timestamp","user"
"julesjlc tweets","818875934807916544","0","0","0","I like it when my cheese has separation anxiety chorizo beef | monterey jack | poblano |… https://www.instagram.com/p/BPF7hCdDzHb/ ","2017-01-10T17:43:31","julesjlc"
"Basic Kneads Massage","821015790308753408","0","0","0","Hoooow bout a smile for Blue Monday! Massage is an excellent stress reliever, great for anxiety… https://www.instagram.com/p/BPVInZxliSl/ ","2017-01-16T15:26:32","basickneads"
"CASIE STEWART  ☀️","821069600951517185","3","1","0","most angry old dude just delivered a package for me omg like it gave me anxiety  https://www.swarmapp.com/c/2LAsZYTmw8F pic.twitter.com/IjjIRdLlgP","2017-01-16T19:00:22","casiestewart"
"the Fitty","821830144922886145","0","0","0","Not feeling so hot.  I haven't worked out in a few days and I can't tell you how much anxiety I… https://www.instagram.com/p/BPa68cbj_Pa/ ","2017-01-18T21:22:30","DeeFitty"
"Slaydrienne","823472305582075904","0","0","0","Hand & face don't match  ""@Big_Twan: A cold Sprite with @CloudN9neSyrup is the best for my anxiety and insomnia! https://twitter.com/Big_Twan/status/822310284635217921/photo/1pic.twitter.com/GjkxQHm41S ""","2017-01-23T10:07:51","AdrienneWishart"
"Kelly Aija Zemnickis","824237434003197952","1","0","0","I have an anxiety disorder and panic attacks. I had my first panic attack at the age of 9. I… https://www.instagram.com/p/BPsBl0AAQH_/ ","2017-01-25T12:48:12","AijaGreen"
"jannipoppers","824241143638556672","0","0","0","@2tickytacky The things that caused me parylizing stress and anxiety seem silly now.   I try not to sweat the small stuff now.","2017-01-25T13:02:56","janipoppers"
"Emma Finlayson","824285657312989185","0","0","0","Some days are really really hard. Anxiety and depression are frustrating and solutions elusive.… https://www.instagram.com/p/BPsXlM8DmNS/ ","2017-01-25T15:59:49","EmmaFinlayson"
"MakeupLady.ca","824367616085012481","0","0","0","I know a lot people that have been able to find relief from anxiety, (myself included) as well… https://www.instagram.com/p/BPs82anBU3V/ ","2017-01-25T21:25:30","Makeup_Lady"
"Sheri Pavlovic","824404605798723584","1","0","0","""Anxiety isn't something that goes away; it's something you learn to control."" As a survivor of… https://www.instagram.com/p/BPtNrEIB2LN/ ","2017-01-25T23:52:29","SheriPavlovic"
"Susan Liberatore","824441417921691648","0","0","0","I didn't want today to pass by without sharing my own story. One of anxiety that crept up on me… https://www.instagram.com/p/BPteaA0FCpj/ ","2017-01-26T02:18:46","AvaGracesCloset"
"Griffin Dominique","824794345962246144","0","0","0","Don't forget to breathe.  #Toronto #Anxiety @ Fort York Blvd https://www.instagram.com/p/BPv-561haX2/ ","2017-01-27T01:41:10","thatgriffingirl"
"Jo Haughton","826176664690421760","0","0","0","""We don't often take the time to examine the enormous stress & anxiety created by having to… https://www.instagram.com/p/BP5zguyjAmw/ ","2017-01-30T21:14:01","JoannaHaughton"
"Janey Brown","826884623334453252","0","0","0","On average, performers deal with a higher level of anxiety than is necessary, than is healthy or… https://www.instagram.com/p/BP-1cnwhhWM/ ","2017-02-01T20:07:11","JaneyBworld"
"Carlo","828677164061057028","0","0","0","Feeling SAD? #seasonalaffectivedisorder #anxiety #depressed #hurt #overworked #cantcope need… https://www.instagram.com/p/BQLkm0lDf0O/ ","2017-02-06T18:50:06","CarloRMT"
"Kangaroo Nik","830794956763598850","0","0","0","Take a pic, it's like a fix for your anxiety.  : @mykcollective  : meeshmua  : zara @… https://www.instagram.com/p/BQanqdHhCm4/ ","2017-02-12T15:05:27","KangarooNik"
"Toronto Now","831100390997233664","0","0","0","Anxiety running high as Trudeau holds first face-to-face meeting with U.S. President Donald Trump… https://twitter.com/i/web/status/831089339505451008 …","2017-02-13T11:19:08","Toronto_CP"
"lj7","831693892571508736","1","0","0",";-P.. #checkin #sleepapnea #snoring #heartcondition #anxiety #wires #sleeptest #clinic… https://www.instagram.com/p/BQhAc_OFbeA/ ","2017-02-15T02:37:30","lj7"
"Miranda Lightstone","831984992158892034","0","0","0","Yes, well, now I am panicking because you told me not to  #anxiety #vanity plate #steerclear… https://www.instagram.com/p/BQjE1Z2gs06/ ","2017-02-15T21:54:14","MsMirandaL"
"Toronto Now","832737170070736896","0","0","0","Trudeau warns black tie business elite to 'get real' about anxiety workers feel http://toplocalnow.com/ca/toronto ","2017-02-17T23:43:07","Toronto_CP"
"Peggypapadatos","839353211991445504","0","0","0","When pain doesn't let me sleep.........feet#pain#emotional#PoorPhysical#anxiety# @ Toronto, Ontario https://www.instagram.com/p/BRXarbFBn_N/ ","2017-03-08T05:52:54","Peggypapadatos"
"C 🎃llin Henderson","840364263319470080","1","1","0","Has streaming helped you overcome some social anxiety? I’m trying to do it more myself, hoping it will help. You seem so natural!","2017-03-11T00:50:28","syropian"
