"fullname","id","likes","replies","retweets","text","timestamp","user"
"ฅ^•ﻌ•^ฅ • Carly","824253378926694404","0","0","0","Just a friendly reminder to use the hashtag #bellletstalk on all of your social media posts… https://www.instagram.com/p/BPsI5pKAAZc/ ","2017-01-25T13:51:34","inadownpour"
"Meredith B","824253954884177920","0","0","2","Today continue to raise awareness and reduce the stigma #BellLetsTalk #MentalHealth #Toronto… https://www.instagram.com/p/BPsJKewhodK/ ","2017-01-25T13:53:51","Bondy82"
"Bacio Della Morte","824256097833930752","0","0","0","Today is #BellLetsTalk, today is a very important day, as the other… https://www.instagram.com/p/BPsKI4EjW0wgnqDKF2lsAxUyEfCfyJq-VkwScM0/ …","2017-01-25T14:02:22","Ms876Stushness"
"Hockey Memorabilia","824257460630265856","0","0","0","On or off the court, mental illness touches us all. Today, let's talk about it. #BellLetsTalk @… https://www.instagram.com/p/BPsKwgSh9vH/ ","2017-01-25T14:07:47","myblockhockey"
"A2W's Neurochangers","824259444896841729","0","0","0","Good morning! Today's the day... For every text, and tweet with the #BellLetsTalk  hashtag, Bell… https://www.instagram.com/p/BPsLqIoFD66/ ","2017-01-25T14:15:40","Aim2Walk"
"katie armstrong","824262327667138560","1","0","0","#BellLetsTalk about how I started the year off right with 2 of my best friends and how grateful… https://www.instagram.com/p/BPsMlXtDHkj/ ","2017-01-25T14:27:07","k_armstrong16"
"Natasha","824262608043802624","0","0","0","#bellletstalk - It's ok to not always be ok. Stand up to stigma, Let's talk about mental health… https://www.instagram.com/p/BPsNGSoAIPq/ ","2017-01-25T14:28:14","Nat77"
"Kristy Quagliariello","824262801971679234","0","0","0","#BellLetsTalk @ Toronto, Ontario https://www.instagram.com/p/BPsNL-mgaOsjOA0amE2Oapl-CIbPyeFf0TRrvA0/ …","2017-01-25T14:29:00","KristyQ"
"Jane Clapp","824265452981391360","0","2","0","BODY WISDOM WEDNESDAY - Today is #bellletstalk For every text, call, tweet and Instagram post,… https://www.instagram.com/p/BPsOZLrBKkS/ ","2017-01-25T14:39:32","janetheclapp"
"snapd Woodbridge","824267843323580417","0","0","1","Lets all do our part  ... #Repost @bell_letstalk with @repostapp ・・・ #BellLetsTalk Day is… https://www.instagram.com/p/BPsPeqSB_mr/ ","2017-01-25T14:49:02","snapdWoodbridge"
"Flo","824268393461252098","0","0","0","#BellLetsTalk #bellletstalkday #bellletstalk #bellletstalk2017 nuff said @ Downtown Toronto https://www.instagram.com/p/BPsPun9FVfO/ ","2017-01-25T14:51:13","jacquej12"
"tor","824269967608582144","0","0","0","#BellLetsTalk  // today we engage in an open discussion about mental illness, offering new… https://www.instagram.com/p/BPsNjQqBvv2/ ","2017-01-25T14:57:29","vvieira_xo"
