"fullname","id","likes","replies","retweets","text","timestamp","user"
"Emily Sauro","816747963213037568","0","0","0","Hairless magic. New ink thanks to @ZackMorrisO4L. Would reccomend going to Depression Ink if you… https://www.instagram.com/p/BO2z1fSjP0e/ ","2017-01-04T20:47:43","EmilySauro"
"Basic Kneads Massage","817364193527656450","0","0","0","Massage is a natural alternative for dealing with depression… https://www.instagram.com/p/BO7MD7llfwe/ ","2017-01-06T13:36:24","basickneads"
"Sean vs. Evil Dead","821121100423819267","4","1","0","I had to resort to drastic measures to cure myself of #BlueMonday depression: a haircut! pic.twitter.com/u79UJp2Gew","2017-01-16T22:25:00","SeanFoster"
"Sassy Travis","823694556201938944","2","0","1","I saw a bus ad today about depression. It featured the ""face of depression"". It's exactly what… https://www.instagram.com/p/BPoKx-cA9I9/ ","2017-01-24T00:51:00","SassyTravis"
"Toronto Now","824231539848290304","0","0","0","Dealing with depression is difficult but talking about it can help. Join the conversation today using BellLetsTalk… https://twitter.com/i/web/status/824230430274686976 …","2017-01-25T12:24:47","Toronto_CP"
"Emma Finlayson","824285657312989185","0","0","0","Some days are really really hard. Anxiety and depression are frustrating and solutions elusive.… https://www.instagram.com/p/BPsXlM8DmNS/ ","2017-01-25T15:59:49","EmmaFinlayson"
"Melody Schaal","824287449815756800","0","0","0","I've never been quiet about my depression or felt I should be. I have always been so fortunate… https://www.instagram.com/p/BPsYZYGBDko/ ","2017-01-25T16:06:57","melodidus"
"lariss","824330458011942912","1","0","0","Depression doesn't always present itself like this. Let's make sure it never has to … https://www.instagram.com/p/BPsr8zYDAQR/ ","2017-01-25T18:57:51","larissruiz"
"Toronto Now","824333835571638272","0","0","0","Thornhill woman shares childhood experiences with bullying, depression with thousands of students BellLetsTalk… https://twitter.com/i/web/status/824331235535310848 …","2017-01-25T19:11:16","Toronto_CP"
"Tom Thomson","826121684755349504","3","0","1","It is utterly at variance to suppose,in a fit of depression, he would have tried to commit suicide.  #WhoKilledTomThomson #Canada150pic.twitter.com/BmkoARnIQZ","2017-01-30T17:35:32","TTLastSpring"
"Chris Kelly","836437788954345472","1","0","0","New VLOG. I talk about mixing alcohol and depression. It's bad. #vlog #film #filmlife #actor… https://www.instagram.com/p/BRCtu0AA0L0/ ","2017-02-28T04:48:03","ChrisKellyMedia"
