"fullname","id","likes","replies","retweets","text","timestamp","user"
"Ottawa Now","821997159818010624","0","0","0","About 1 in 10 young people experienced depression at some point, StatsCan says http://cbc.ca/1.3940621 ","2017-01-19T08:26:09","OttawaCP"
"Ottawa Now","823890936736296960","0","0","0","Patients with anxiety, depression after cancer diagnosis die sooner, study finds http://ow.ly/x99h308iyVq ","2017-01-24T13:51:21","OttawaCP"
"Carla Coady","824239473860939777","1","0","0","#BellLetsTalk I suffer from complex depression and severe… https://www.instagram.com/p/BPsClCajAzuZCGG1gFGKzNUrh_chUJ9Cvz7z8o0/ …","2017-01-25T12:56:18","carla_c7703"
"Ottawa Now","824244725083320320","0","0","0","My interview with Michael Landsberg about Depression still resonates with me 2 yrs later BellLetsTalk http://ottawacitizen.com/health/men/q-and-a-tsns-michael-landsberg-on-the-deep-hole-of-depression/ …","2017-01-25T13:17:10","OttawaCP"
"Pete Szekely","824375912099557376","2","0","0","I am grateful for fortitude, friends and resources during my past battles with #depression … https://www.instagram.com/p/BPtAoCcBhE2/ ","2017-01-25T21:58:28","misterpete"
"Ottawa Now","824624070188675075","0","0","0","An important breakthrough in treating depression. Story by Elizabeth Payne MentalHealth http://ottawacitizen.com/news/local-news/biggest-breakthrough-since-antidepressants-is-turning-lives-around-in-ottawa …","2017-01-26T14:24:33","OttawaCP"
"Ottawa Now","826469127564861440","0","0","0","Could physical activity protect children from depression? mentalhealth depression http://bit.ly/2knsCFr ","2017-01-31T16:36:09","OttawaCP"
"Ottawa Now","846064992600305665","0","0","0","Can psychedelic drugs work magic on depression? ottnews ottawa http://ift.tt/2n7jIdt ","2017-03-26T18:23:08","OttawaCP"
"CAPHC","850336587468681216","3","0","6","Addressing the Adolescent Depression Challenge  http://www.caphc.org/blog/2017/3/30/addressing-the-adolescent-depression-challenge …","2017-04-07T13:16:55","CAPHCTweets"
"Abe Bourgi","850419575476940800","0","0","0",". Depression . #depression #depressed #lines #doodle #doodling #zentangle #colors #imagination… https://www.instagram.com/p/BSmD6XNgVM-/ ","2017-04-07T18:46:41","boodythebest"
"Abe Bourgi","851245180615360517","0","0","1",". Broken . #broken #life #depression #lines #doodle #doodling #zentangle #colors #imagination… https://www.instagram.com/p/BSr7WfIgesE/ ","2017-04-10T01:27:21","boodythebest"
"Ottawa Now","854859306436485120","0","0","0","Research is clearly showing that moving more can help protect against childhood depression movemore http://ow.ly/6dXE30aZC5y ","2017-04-20T00:48:35","OttawaCP"
"Aly Elle∞","863208087058034688","0","0","0","; the anxiety and depression hit me hard today.  i'm so lost. @… https://www.instagram.com/p/BUA7c6bAktb9MKtaj2QD3uN816N_4MfuPuuYGo0/ …","2017-05-13T01:43:40","heyheyalycat"
"Ottawa Now","872772744932229120","0","0","0","Pilots let's talk: Aircraft worker opens up about battle with depression ottnews ottawa http://toplocalnow.com/ca/ottawa/at/6#t4658773 …","2017-06-08T11:10:12","OttawaCP"
"Matt Graham","889179416370327552","2","0","1","Depression in people working from home. From someone who's been there. This needs to be talked… https://www.instagram.com/p/BW5d0kenhXm/ ","2017-07-23T17:44:27","themattyg"
"Martin Lafleur","889803950043615232","0","0","0","Anxiety and depression can be a bitch sometimes, living with it for the past 30 years I know now… https://www.instagram.com/p/BW952HnF56C/ ","2017-07-25T11:06:08","anonymousone613"
"Van Tran Photography","896831261561540608","1","0","0","Depression. @ Ottawa - Vanier https://www.instagram.com/p/BXv1UJdD1y4/ ","2017-08-13T20:30:09","vantran50"
"Andrea MacLean, APR","902950492971687939","1","0","0","theroyalfdn #transformalife #mentalhealth #depression #research #help @theroyalmhc @difdroyal… https://www.instagram.com/p/BYbUMxsFzQa/ ","2017-08-30T17:45:48","andrea_maclean"
"kavvy [rock dweller]","903386584837476352","5","3","0","depression and anxiety are such jerks. always wanting to hang out at the most inconvenient times.","2017-08-31T22:38:40","kavmac"
